col,year,day_of_year,ad,not_ad,promo,min
2021_180,2021,180,10.0,3.0,0.0,3
2021_182,2021,182,276.0,155.0,2.0,155
2021_183,2021,183,291.0,137.0,0.0,137
2021_184,2021,184,225.0,57.0,1.0,57
2021_185,2021,185,348.0,127.0,4.0,127
2021_186,2021,186,338.0,50.0,1.0,50
2021_187,2021,187,228.0,96.0,1.0,96
2021_188,2021,188,324.0,163.0,1.0,163
2021_189,2021,189,111.0,11.0,0.0,11
2021_190,2021,190,239.0,58.0,0.0,58
2021_191,2021,191,254.0,68.0,0.0,68
2021_192,2021,192,205.0,84.0,0.0,84
2021_193,2021,193,413.0,98.0,0.0,98
2021_194,2021,194,467.0,223.0,0.0,223
2021_195,2021,195,457.0,266.0,1.0,266
2021_196,2021,196,708.0,315.0,1.0,315
2021_197,2021,197,977.0,350.0,8.0,350
2021_198,2021,198,824.0,170.0,6.0,170
2021_199,2021,199,995.0,180.0,6.0,180
2021_200,2021,200,1126.0,270.0,19.0,270
2021_201,2021,201,1271.0,341.0,15.0,341
2021_202,2021,202,1264.0,326.0,21.0,326
2021_203,2021,203,1213.0,309.0,25.0,309
2021_204,2021,204,1305.0,276.0,27.0,276
2021_205,2021,205,1387.0,147.0,5.0,147
2021_206,2021,206,1500.0,162.0,18.0,162
2021_207,2021,207,1923.0,221.0,35.0,221
2021_208,2021,208,1973.0,175.0,21.0,175
2021_209,2021,209,2152.0,179.0,18.0,179
2021_210,2021,210,2178.0,145.0,13.0,145
2021_211,2021,211,2036.0,168.0,21.0,168
2021_212,2021,212,2209.0,112.0,55.0,112
2021_213,2021,213,2662.0,98.0,45.0,98
2021_214,2021,214,2783.0,101.0,32.0,101
2021_215,2021,215,3038.0,110.0,23.0,110
2021_216,2021,216,2961.0,72.0,19.0,72
2021_217,2021,217,2824.0,90.0,23.0,90
2021_218,2021,218,2120.0,60.0,26.0,60
2021_219,2021,219,2989.0,114.0,21.0,114
2021_220,2021,220,3123.0,84.0,15.0,84
2021_221,2021,221,3725.0,107.0,38.0,107
2021_222,2021,222,3862.0,168.0,45.0,168
2021_223,2021,223,3822.0,133.0,49.0,133
2021_224,2021,224,3981.0,150.0,70.0,150
2021_225,2021,225,4049.0,254.0,99.0,254
2021_226,2021,226,4058.0,226.0,89.0,226
2021_227,2021,227,4254.0,249.0,101.0,249
2021_228,2021,228,5007.0,202.0,138.0,202
2021_229,2021,229,4850.0,196.0,132.0,196
2021_230,2021,230,5347.0,222.0,109.0,222
2021_231,2021,231,5604.0,238.0,100.0,238
2021_232,2021,232,6119.0,217.0,108.0,217
2021_233,2021,233,5863.0,197.0,105.0,197
2021_234,2021,234,7010.0,230.0,138.0,230
2021_235,2021,235,6656.0,298.0,158.0,298
2021_236,2021,236,9988.0,423.0,250.0,423
2021_237,2021,237,7547.0,410.0,165.0,410
2021_238,2021,238,7551.0,490.0,195.0,490
2021_239,2021,239,11016.0,937.0,299.0,937
2021_240,2021,240,8312.0,752.0,260.0,752
2021_241,2021,241,8622.0,747.0,475.0,747
