col,year,day_of_year,ad,not_ad,promo,min
2021_180,2021,180,10.0,3.0,0.0,3.0
2021_182,2021,182,276.0,155.0,2.0,155.0
2021_183,2021,183,291.0,137.0,0.0,137.0
2021_184,2021,184,225.0,57.0,1.0,57.0
2021_185,2021,185,348.0,127.0,4.0,127.0
2021_186,2021,186,338.0,50.0,1.0,50.0
2021_187,2021,187,228.0,96.0,1.0,96.0
2021_188,2021,188,324.0,163.0,1.0,163.0
2021_189,2021,189,111.0,11.0,0.0,11.0
2021_190,2021,190,239.0,58.0,0.0,58.0
2021_191,2021,191,254.0,68.0,0.0,68.0
2021_192,2021,192,205.0,84.0,0.0,84.0
2021_193,2021,193,413.0,98.0,0.0,98.0
2021_194,2021,194,467.0,223.0,0.0,223.0
2021_195,2021,195,457.0,266.0,1.0,266.0
2021_196,2021,196,708.0,315.0,1.0,315.0
2021_197,2021,197,977.0,350.0,8.0,350.0
2021_198,2021,198,824.0,170.0,6.0,170.0
2021_199,2021,199,995.0,180.0,6.0,180.0
2021_200,2021,200,1126.0,270.0,19.0,270.0
2021_201,2021,201,1271.0,341.0,15.0,341.0
2021_202,2021,202,1264.0,326.0,21.0,326.0
2021_203,2021,203,1213.0,309.0,25.0,309.0
2021_204,2021,204,1305.0,276.0,27.0,276.0
2021_205,2021,205,1387.0,147.0,5.0,147.0
2021_206,2021,206,1500.0,162.0,18.0,162.0
2021_207,2021,207,1923.0,221.0,35.0,221.0
2021_208,2021,208,1973.0,175.0,21.0,175.0
2021_209,2021,209,2152.0,179.0,18.0,179.0
2021_210,2021,210,2178.0,145.0,13.0,145.0
2021_211,2021,211,2036.0,168.0,21.0,168.0
2021_212,2021,212,2209.0,112.0,55.0,112.0
2021_213,2021,213,2662.0,98.0,45.0,98.0
2021_214,2021,214,2783.0,101.0,32.0,101.0
2021_215,2021,215,3038.0,110.0,23.0,110.0
2021_216,2021,216,2961.0,72.0,19.0,72.0
2021_217,2021,217,2824.0,90.0,23.0,90.0
2021_218,2021,218,2120.0,60.0,26.0,60.0
2021_219,2021,219,2989.0,114.0,21.0,114.0
2021_220,2021,220,3123.0,84.0,15.0,84.0
